Category,Title,Price,Rate
Travel,A Light in the Attic,51.77,Three
Travel,Tipping the Velvet,53.74,One
Travel,Soumission,50.1,One
Travel,Sharp Objects,47.82,Four
Travel,Sapiens: A Brief History of Humankind,54.23,Five
Travel,The Requiem Red,22.65,One
Travel,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Travel,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Travel,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Travel,The Black Maria,52.15,One
Travel,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Travel,Shakespeare's Sonnets,20.66,Four
Travel,Set Me Free,17.46,Five
Travel,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Travel,Rip it Up and Start Again,35.02,Five
Travel,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Travel,Olio,23.88,One
Travel,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Travel,Libertarianism for Beginners,51.33,Two
Travel,It's Only the Himalayas,45.17,Two
Mystery,A Light in the Attic,51.77,Three
Mystery,Tipping the Velvet,53.74,One
Mystery,Soumission,50.1,One
Mystery,Sharp Objects,47.82,Four
Mystery,Sapiens: A Brief History of Humankind,54.23,Five
Mystery,The Requiem Red,22.65,One
Mystery,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Mystery,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Mystery,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Mystery,The Black Maria,52.15,One
Mystery,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Mystery,Shakespeare's Sonnets,20.66,Four
Mystery,Set Me Free,17.46,Five
Mystery,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Mystery,Rip it Up and Start Again,35.02,Five
Mystery,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Mystery,Olio,23.88,One
Mystery,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Mystery,Libertarianism for Beginners,51.33,Two
Mystery,It's Only the Himalayas,45.17,Two
Historical Fiction,A Light in the Attic,51.77,Three
Historical Fiction,Tipping the Velvet,53.74,One
Historical Fiction,Soumission,50.1,One
Historical Fiction,Sharp Objects,47.82,Four
Historical Fiction,Sapiens: A Brief History of Humankind,54.23,Five
Historical Fiction,The Requiem Red,22.65,One
Historical Fiction,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Historical Fiction,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Historical Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Historical Fiction,The Black Maria,52.15,One
Historical Fiction,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Historical Fiction,Shakespeare's Sonnets,20.66,Four
Historical Fiction,Set Me Free,17.46,Five
Historical Fiction,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Historical Fiction,Rip it Up and Start Again,35.02,Five
Historical Fiction,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Historical Fiction,Olio,23.88,One
Historical Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Historical Fiction,Libertarianism for Beginners,51.33,Two
Historical Fiction,It's Only the Himalayas,45.17,Two
Sequential Art,A Light in the Attic,51.77,Three
Sequential Art,Tipping the Velvet,53.74,One
Sequential Art,Soumission,50.1,One
Sequential Art,Sharp Objects,47.82,Four
Sequential Art,Sapiens: A Brief History of Humankind,54.23,Five
Sequential Art,The Requiem Red,22.65,One
Sequential Art,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Sequential Art,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Sequential Art,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Sequential Art,The Black Maria,52.15,One
Sequential Art,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Sequential Art,Shakespeare's Sonnets,20.66,Four
Sequential Art,Set Me Free,17.46,Five
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Sequential Art,Rip it Up and Start Again,35.02,Five
Sequential Art,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Sequential Art,Olio,23.88,One
Sequential Art,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Sequential Art,Libertarianism for Beginners,51.33,Two
Sequential Art,It's Only the Himalayas,45.17,Two
Classics,A Light in the Attic,51.77,Three
Classics,Tipping the Velvet,53.74,One
Classics,Soumission,50.1,One
Classics,Sharp Objects,47.82,Four
Classics,Sapiens: A Brief History of Humankind,54.23,Five
Classics,The Requiem Red,22.65,One
Classics,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
