Job Title,Job link,Company name,Location,Skills
Enterprise Data Warehouse Architect,https://wuzzuf.net/jobs/p/GPFXhTU4eujl-Enterprise-Data-Warehouse-Architect-Sscegypt-Cairo-Egypt,"Cairo, Egypt ",Sscegypt -,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · computer engineering · software engineering · engineering · sql · oracle
ENTERPRISE DATA WAREHOUSE ARCHITECT,https://wuzzuf.net/jobs/p/JrH27EWqVsky-ENTERPRISE-DATA-WAREHOUSE-ARCHITECT-Commercial-International-Group-Cairo-Egypt,"Cairo, Egypt ",Commercial International Group -,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · computer engineering · software engineering · engineering · sql · oracle
Master Data Supervisor,https://wuzzuf.net/jobs/p/Uh9FQhFLzuQj-Master-Data-Supervisor-Giza-Egypt,"Mohandessin, Giza, Egypt ",Confidential -,Experienced · 6 - 8 Yrs of Exp · Sales/Retail · Computer Science · Data Management · Master Data · Master Data Management · Computer Engineering · Data · Management · Information Technology (IT)
Enterprise Data Warehouse Architect,https://wuzzuf.net/jobs/p/yXDbmlFRy20l-Enterprise-Data-Warehouse-Architect-SSC-Cairo-Egypt,"Cairo, Egypt ",SSC -,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · computer engineering · software engineering · etl · design · operations
Fixed data Support Sr. Engineer,https://wuzzuf.net/jobs/p/leKLbv5F8OWv-Fixed-data-Support-Sr-Engineer-Vodafone---Egypt-Cairo-Egypt,"Cairo, Egypt ",Vodafone - Egypt -,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Development · Linux · SQL · Computer Engineering
Junior Data Analyst,https://wuzzuf.net/jobs/p/yVfxNcTzpXH0-Junior-Data-Analyst-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,"Alexandria, Egypt ",Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · Analysis · analytical · Computer Science · Data Analysis · Information Technology (IT)
ML & Data Analytics Senior Specialist,https://wuzzuf.net/jobs/p/mWJtYYF0H69H-ML-Data-Analytics-Senior-Specialist-Vodafone---Egypt-Cairo-Egypt,"Cairo, Egypt ",Vodafone - Egypt -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · Software · Software Engineering · Computer Engineering · Software Development
GIS & Data Management Technician,https://wuzzuf.net/jobs/p/wfjzOY5iJHdl-GIS-Data-Management-Technician-WorleyParsons-Kuwait-City-Kuwait,"Kuwait City, Kuwait ",WorleyParsons -,Not specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · GIS · Information Technology (IT) · Computer Science · Software Development · Engineering · javaScript · Software Engineering
Data Engineer,https://wuzzuf.net/jobs/p/kQBWVXTeEwQI-Data-Engineer-Vistas-Global-Doha-Qatar,"Doha, Qatar ",Vistas Global -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Data Scientist,https://wuzzuf.net/jobs/p/gacMYmJhiwmr-Data-Scientist-Vistas-Global-Doha-Qatar,"Doha, Qatar ",Vistas Global -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
